index,query,priority,intensity
70,"I plan to experience the thrill of skydiving, an adventure I've always wanted to try",2,4
466,"I plan to dedicate time to learning something new, like a language or instrument, for personal development",2,4
685,I plan to visit the dentist for a routine cleaning and to ensure dental health is maintained,1,1
596,"I need to reach out to the manager for urgent discussions, approvals, or to relay important information",1,1
962,"I need to reach out to the manager for urgent discussions, approvals, or to relay important information",1,1
1000,"I have to give a thorough bath with pet-friendly shampoo, not urgent but should be done when possible",3,1
204,"I have to when i can meal prep for my week, it will be easy",1,2
282,"I have to tidy up the pet's living area, including bedding and toys, to keep a clean environment",3,1
151,"I have to give a thorough bath with pet-friendly shampoo, not urgent but should be done when possible",3,1
723,"I have to soon cook for my family, it will be fastly",0,2
419,"I plan to explore a new hobby or activity I've been curious about, like pottery or photography",2,3
121,I have to take the important code exam,1,4
292,"I have to first visit my friend, it will be fastly",2,1
204,"I plan to immerse myself in a video game, either trying a new one or replaying a classic",3,2
496,"I have to dedicate time to bond, crucial for emotional health and to strengthen our connection",2,4
741,I have to take the important SAT exam,1,2
795,I have to take the eventually physics exam,2,4
319,I have to take the easy engineering exam,2,3
279,I have to clean my room,1,1
79,I need to take on extra shifts or extend work hours to meet project deadlines or cover for absent colleagues,1,5
193,"I have to necessary cook for my family, it will be tough",0,4
192,"I plan to have fun racing go-karts with friends, a perfect way to spend the weekend",2,3
785,I plan to enjoy a leisurely walk in the park to clear my mind and get some fresh air,3,1
518,"I need to schedule and work the required part-time hours, ensuring all duties are completed within this time",2,4
297,"I plan to give back by volunteering at a local charity or community event, a rewarding way to spend time",2,3
88,I have to take the intensive chemistry exam,1,5
840,I have to take the by tomorrow GMAT exam,0,2
475,I have to plan a family dinner,1,4
661,I plan to sign up for and attend a fitness class to stay active and meet new people,2,3
805,I have to take the now art exam,0,2
176,"I have to now charge my pad, it will be hard",1,2
386,"I have to urgently visit my grandparents, it will be learn",1,3
104,I have to watch a documentary,2,1
591,I plan to sign up for and attend a fitness class to stay active and meet new people,2,3
742,"I have to tidy up the pet's living area, including bedding and toys, to keep a clean environment",3,1
957,"I plan to go for a run to stay active and enjoy the outdoors, whether in the neighborhood or a local trail",3,2
759,"I need to get in touch with IT support to resolve technical issues affecting work, with a sense of urgency",1,2
726,"I have to urgently charge my laptop, it will be hard",0,2
219,"I need to reach out to team members for updates, collaboration, or to provide support on ongoing tasks",2,2
846,"I have to crucial go to a restaurant, it will be quick",2,1
497,I have to take the important LSAT exam,1,2
357,I have to clean my room,2,1
449,"I plan to give back by volunteering at a local charity or community event, a rewarding way to spend time",2,3
815,I need to take on extra shifts or extend work hours to meet project deadlines or cover for absent colleagues,1,5
425,"I have to tidy up the pet's living area, including bedding and toys, to keep a clean environment",3,1
742,I have to take the now LSAT exam,0,2
888,I have to take the important history exam,1,2
32,I have to hard study for the civil engineering exam,2,7
245,"I have to urgent vet visit for annual vaccination and check-up, must be done ASAP for pet's health",1,3
585,"I plan to go for a run to stay active and enjoy the outdoors, whether in the neighborhood or a local trail",3,2
826,I have to take the easy LSAT exam,2,1
871,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
459,I have to easy study for the communications exam,3,3
445,"I need to prepare and submit tax documents, a critical task with medium time commitment",1,3
897,"I have to urgent vet visit for annual vaccination and check-up, must be done ASAP for pet's health",1,3
461,I have to wash the dishes,1,1
361,"I need to schedule and work the required part-time hours, ensuring all duties are completed within this time",2,4
674,I plan to have a session with my counselor to talk through any challenges and for personal growth,1,1
695,"I need to compile a comprehensive report on recent project developments, requiring several hours of focus",2,4
162,I have to take the sometime this week engineering exam,2,4
237,I need to submit a work order for necessary repairs or maintenance in the office environment,1,2
882,"I plan to give back by volunteering at a local charity or community event, a rewarding way to spend time",2,3
802,"I plan to organize a get-together with friends to catch up, relax, and enjoy each other's company",2,3
658,"I need to ensure all project documents are up to date, reflecting the latest changes and decisions",2,3
831,I have to watch a documentary,2,4
537,"I need to prepare for and attend a meeting with the boss to discuss performance, goals, and feedback",1,2
645,"I plan to dedicate quality time to being with family, sharing meals, conversations, and activities",2,3
963,"I have to urgent vet visit for annual vaccination and check-up, must be done ASAP for pet's health",1,3
408,"I have to urgently go shopping for electronics, it will be speed",2,1
333,"I plan to dedicate quality time to being with family, sharing meals, conversations, and activities",2,3
496,I have to watch a documentary,2,1
578,"I need to schedule and work the required part-time hours, ensuring all duties are completed within this time",2,4
348,"I have to quickly go shopping at multiple stores, it will be swiftly",1,3
47,"I have to by today charge my phone, it will be long",0,2
94,"I plan to immerse myself in a video game, either trying a new one or replaying a classic",3,2
756,"I have to crucial clean the house, it will be research",1,4
65,I have to prepare for the job interview,2,2
45,I need to take on extra shifts or extend work hours to meet project deadlines or cover for absent colleagues,1,5
990,I have to go grocery shopping,1,2
675,"I have to with haste clean the house, it will be easy",1,2
511,I have to do the laundry,1,1
111,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
672,"I have to urgently go shopping for a fridge, it will be fast",2,2
425,"I need to reach out to team members for updates, collaboration, or to provide support on ongoing tasks",2,2
368,"I plan to dedicate quality time to being with family, sharing meals, conversations, and activities",2,3
953,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
757,"I have to prepare and serve fresh meals twice a day, morning and evening, to maintain a healthy diet",1,2
818,I need to take on extra shifts or extend work hours to meet project deadlines or cover for absent colleagues,1,5
239,I need to conduct light cleaning tasks to maintain a pleasant and productive office space,3,1
970,I have to take the eventually LSAT exam,2,2
492,"I have to when i can clean my room, it will be slowly",3,3
219,"I have to urgently clean the house, it will be easy",1,2
146,I have to by tomorrow study for the chemistry exam,0,6
348,I have to do the laundry,3,1
215,"I have to last go shopping for electronics, it will be thorough",3,3
379,"I plan to experience the thrill of skydiving, an adventure I've always wanted to try",2,4
584,"I plan to spend some quiet time getting lost in a good book, either fiction or non-fiction",3,2
825,"I plan to hold a family meeting to discuss plans, responsibilities, and any important updates",1,1
611,I have to take the important communications exam,1,2
527,I have to plan a family dinner,2,1
922,I have to go grocery shopping,2,2
539,"I have to conduct regular training to teach new tricks and reinforce good behavior, a rewarding challenge",2,4
984,"I have to soon go shopping for clothes, it will be thorough",2,3
502,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
959,I have to important study for the engineering exam,2,6
801,"I have to last go to the gym, it will be swiftly",3,1
66,"I need to organize activities to enhance team cohesion and morale, important for maintaining a positive work environment",3,2
372,I have to prepare for the job interview,2,2
3,"I have to when i can clean my room, it will be research",3,3
904,I need to submit a work order for necessary repairs or maintenance in the office environment,1,2
621,"I plan to attend a scheduled doctor's appointment for a regular health check-up, cannot be postponed",1,1
718,"I have to when i can find something to eat, it will be speed",1,1
573,I plan to visit the dentist for a routine cleaning and to ensure dental health is maintained,1,1
963,I plan to sign up for and attend a fitness class to stay active and meet new people,2,3
863,"I have to last find something to eat, it will be quick",1,1
654,I need to submit a work order for necessary repairs or maintenance in the office environment,1,2
443,"I plan to spend time meditating to clear my mind, reduce stress, and improve my mental well-being",2,1
485,"I plan to start planning a vacation for some rest and rejuvenation, researching destinations and making bookings",2,2
202,I have to vacuum the living room,3,1
999,I have to take the now chemistry exam,0,4
915,"I have to primarily go shopping for electronics, it will be swiftly",2,1
647,"I have to easy meal prep for next week, it will be learn",2,4
762,"I have to eventually clean my room, it will be quick",3,1
915,I have to read a book,2,4
81,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
307,"I have to necessary charge my phone, it will be research",0,2
945,I have to take the today engineering exam,0,4
65,"I have to soon go to a restaurant, it will be learn",2,2
388,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
535,I have to plan a family dinner,2,3
513,I have to practice guitar,3,3
693,"I plan to have fun racing go-karts with friends, a perfect way to spend the weekend",2,3
7,"I need to prepare and submit tax documents, a critical task with medium time commitment",1,3
649,"I have to urgent vet visit for annual vaccination and check-up, must be done ASAP for pet's health",1,3
38,I plan to enjoy a leisurely walk in the park to clear my mind and get some fresh air,3,1
520,I need to take on extra shifts or extend work hours to meet project deadlines or cover for absent colleagues,1,5
15,"I plan to give back by volunteering at a local charity or community event, a rewarding way to spend time",2,3
288,"I plan to organize a casual get-together with friends for games, conversation, and fun",2,3
870,I plan to binge-watch the latest season of a highly recommended series,3,2
389,"I have to tidy up the pet's living area, including bedding and toys, to keep a clean environment",3,1
437,"I have to necessary go shopping for clothes, it will be difficult",2,3
389,"I plan to immerse myself in a video game, either trying a new one or replaying a classic",3,2
563,I have to practice guitar,2,4
66,"I plan to experience the thrill of skydiving, an adventure I've always wanted to try",2,4
930,"I have to lastly go to a restaurant, it will be flip through",3,1
437,"I need to prepare for and attend a meeting with the boss to discuss performance, goals, and feedback",1,2
266,"I have to lastly go shopping for electronics, it will be quick",3,1
562,"I need to reach out to the manager for urgent discussions, approvals, or to relay important information",1,1
264,"I plan to dedicate quality time to being with family, sharing meals, conversations, and activities",2,3
979,"I have to first go to the gym, it will be fastly",1,1
594,I have to meal prep for the week,2,3
347,I have to now study for the liberal arts exam,0,4
127,I have to take the urgent engineering exam,1,4
929,I have to take the thorough chemistry exam,1,5
213,"I have to urgently take care of my plants, it will be swiftly",1,3
176,I plan to sign up for and attend a fitness class to stay active and meet new people,2,3
735,"I have to conduct regular training to teach new tricks and reinforce good behavior, a rewarding challenge",2,4
964,I have to soon study for the english exam,2,4
831,"I have to crucial visit my grandparents, it will be speed",1,1
604,"I have to when i can garden my plants, it will be time-intensive",3,4
370,I have to by tomorrow study for the math exam,0,5
542,"I have to quickly go to the gym, it will be hard",1,3
506,I have to wash the dishes,1,1
442,I have to take the now civil engineering exam,0,4
362,I need to submit a work order for necessary repairs or maintenance in the office environment,1,2
20,I plan to sign up for and attend a fitness class to stay active and meet new people,2,3
187,"I plan to dedicate time to learning something new, like a language or instrument, for personal development",2,4
196,I have to take the easy LSAT exam,2,1
700,I have to take the soon SAT exam,1,2
614,"I have to brush fur to reduce shedding and matting, a relaxing activity for both pet and owner",3,1
867,"I plan to attend a scheduled doctor's appointment for a regular health check-up, cannot be postponed",1,1
244,"I have to eventually go shopping for electronics, it will be thorough",3,3
66,I have to take the thorough english exam,1,3
705,"I have to give a thorough bath with pet-friendly shampoo, not urgent but should be done when possible",3,1
461,I have to take the important GMAT exam,1,2
666,"I have to urgent vet visit for annual vaccination and check-up, must be done ASAP for pet's health",1,3
583,"I plan to attend a scheduled doctor's appointment for a regular health check-up, cannot be postponed",1,1
983,I have to take the sometime this week LSAT exam,2,2
301,"I plan to explore a new hobby or activity I've been curious about, like pottery or photography",2,3
935,"I have to first meal prep for my week, it will be fast",0,2
619,"I plan to give back by volunteering at a local charity or community event, a rewarding way to spend time",2,3
367,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
63,"I need to visit the bank for work-related financial transactions, requiring careful planning and time management",1,2
616,I have to do the laundry,1,1
548,"I have to dedicate time to bond, crucial for emotional health and to strengthen our connection",2,4
594,"I plan to explore a new hobby or activity I've been curious about, like pottery or photography",2,3
229,I have to finish the project report,2,2
539,"I need to ensure all project documents are up to date, reflecting the latest changes and decisions",2,3
848,I plan to binge-watch the latest season of a highly recommended series,3,2
462,"I have to urgently visit my grandparents, it will be speed",1,1
233,I need to conduct light cleaning tasks to maintain a pleasant and productive office space,3,1
727,"I have to urgent vet visit for annual vaccination and check-up, must be done ASAP for pet's health",1,3
541,I have to easy study for the engineering exam,3,5
953,I have to take the now chemistry exam,0,4
4,"I have to tidy up the pet's living area, including bedding and toys, to keep a clean environment",3,1
595,"I have to primarily go shopping at multiple stores, it will be difficult",0,3
374,"I plan to hold a family meeting to discuss plans, responsibilities, and any important updates",1,1
224,"I have to urgent vet visit for annual vaccination and check-up, must be done ASAP for pet's health",1,3
25,I plan to have a session with my counselor to talk through any challenges and for personal growth,1,1
554,I have to schedule dentist appointment,1,1
135,"I plan to give back by volunteering at a local charity or community event, a rewarding way to spend time",2,3
987,"I plan to organize a casual get-together with friends for games, conversation, and fun",2,3
8,"I plan to go hiking to explore nature, get exercise, and enjoy some peaceful time outdoors",2,3
115,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
336,"I have to brush fur to reduce shedding and matting, a relaxing activity for both pet and owner",3,1
311,"I have to brush fur to reduce shedding and matting, a relaxing activity for both pet and owner",3,1
320,I have to go grocery shopping,1,2
851,"I plan to have fun racing go-karts with friends, a perfect way to spend the weekend",2,3
940,I have to write in journal,2,4
180,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
306,I have to soon study for the english exam,2,4
895,I plan to watch a new or favorite movie to relax and unwind after a long day,3,2
182,"I need to complete necessary administrative forms, a task that takes little time but needs to be done",3,1
337,"I have to first clean the house, it will be exhausting",1,4
98,I have to organize the garage,1,1
662,I have to take the thorough GMAT exam,1,3
260,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
41,I have to vacuum the living room,1,1
417,"I have to by today go shopping for electronics, it will be lengthy",2,3
529,I have to soon study for the physics exam,2,6
0,I have to take the intensive civil engineering exam,1,5
816,"I need to prepare and submit tax documents, a critical task with medium time commitment",1,3
924,"I need to ensure all project documents are up to date, reflecting the latest changes and decisions",2,3
132,"I plan to go hiking to explore nature, get exercise, and enjoy some peaceful time outdoors",2,3
833,"I need to prepare for and attend a meeting with the boss to discuss performance, goals, and feedback",1,2
67,"I need to schedule and work the required part-time hours, ensuring all duties are completed within this time",2,4
512,"I plan to go hiking to explore nature, get exercise, and enjoy some peaceful time outdoors",2,3
32,I need to take on extra shifts or extend work hours to meet project deadlines or cover for absent colleagues,1,5
506,"I have to last clean the house, it will be long",3,4
640,I have to schedule dentist appointment,1,2
954,I plan to binge-watch the latest season of a highly recommended series,3,2
253,"I plan to immerse myself in a video game, either trying a new one or replaying a classic",3,2
324,I have to now study for the civil engineering exam,0,6
957,"I need to schedule and work the required part-time hours, ensuring all duties are completed within this time",2,4
23,I have to plan a family dinner,1,4
878,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
154,"I have to crucial garden my plants, it will be long",1,4
705,"I need to prepare for and attend a meeting with the boss to discuss performance, goals, and feedback",1,2
419,"I have to brush fur to reduce shedding and matting, a relaxing activity for both pet and owner",3,1
15,I have to take the by tomorrow civil engineering exam,0,4
888,"I plan to spend time meditating to clear my mind, reduce stress, and improve my mental well-being",2,1
26,"I have to prepare and serve fresh meals twice a day, morning and evening, to maintain a healthy diet",1,2
702,I have to take the urgent MCAT exam,1,2
419,"I have to finally take care of my plants, it will be fast",3,3
18,I have to watch a documentary,3,2
129,"I need to ensure all project documents are up to date, reflecting the latest changes and decisions",2,3
240,"I need to organize activities to enhance team cohesion and morale, important for maintaining a positive work environment",3,2
854,"I have to trim nails carefully to prevent overgrowth and potential health issues, can wait until the weekend",3,1
100,"I plan to immerse myself in a video game, either trying a new one or replaying a classic",3,2
902,I have to today study for the social studies exam,0,4
971,I have to take the by tomorrow chemistry exam,0,4
847,"I have to brush fur to reduce shedding and matting, a relaxing activity for both pet and owner",3,1
502,I plan to have a session with my counselor to talk through any challenges and for personal growth,1,1
719,"I plan to organize a get-together with friends to catch up, relax, and enjoy each other's company",2,3
285,"I plan to hold a family meeting to discuss plans, responsibilities, and any important updates",1,1
951,"I plan to go hiking to explore nature, get exercise, and enjoy some peaceful time outdoors",2,3
691,"I plan to dedicate time to training and improving skills in a chosen sport, aiming for personal bests",1,4
661,"I need to ensure all project documents are up to date, reflecting the latest changes and decisions",2,3
5,I have to workout at the gym,1,3
483,I need to take on extra shifts or extend work hours to meet project deadlines or cover for absent colleagues,1,5
330,I have to call a friend,1,1
673,I have to study for the MCAT,3,2
577,"I have to urgently go shopping for a fridge, it will be exhausting",2,4
506,"I plan to organize a get-together with friends to catch up, relax, and enjoy each other's company",2,3
234,I have to take the by tomorrow SAT exam,0,2
356,"I need to prepare and submit tax documents, a critical task with medium time commitment",1,3
968,I plan to visit the dentist for a routine cleaning and to ensure dental health is maintained,1,1
137,"I plan to dedicate time to training and improving skills in a chosen sport, aiming for personal bests",1,4
567,I need to sort and organize digital or physical files to keep the workspace tidy and efficient,3,2
839,I need to conduct light cleaning tasks to maintain a pleasant and productive office space,3,1
383,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
550,I have to take the intensive english exam,1,3
470,"I have to tidy up the pet's living area, including bedding and toys, to keep a clean environment",3,1
791,"I have to last go shopping for electronics, it will be fastly",3,1
701,"I have to finally garden my plants, it will be easy",3,2
297,I have to important study for the liberal arts exam,2,4
863,I have to organize the garage,2,1
921,"I have to primarily charge my laptop, it will be quick",0,1
423,"I need to reach out to the manager for urgent discussions, approvals, or to relay important information",1,1
479,"I need to reach out to the manager for urgent discussions, approvals, or to relay important information",1,1
314,"I plan to hold a family meeting to discuss plans, responsibilities, and any important updates",1,1
538,I plan to visit the dentist for a routine cleaning and to ensure dental health is maintained,1,1
342,"I need to schedule and work the required part-time hours, ensuring all duties are completed within this time",2,4
862,"I plan to spend some quiet time getting lost in a good book, either fiction or non-fiction",3,2
763,I plan to binge-watch the latest season of a highly recommended series,3,2
809,"I plan to spend some quiet time getting lost in a good book, either fiction or non-fiction",3,2
100,"I have to give a thorough bath with pet-friendly shampoo, not urgent but should be done when possible",3,1
435,I have to eventually study for the social studies exam,3,4
586,"I have to required charge my phone, it will be swiftly",0,1
596,"I plan to hold a family meeting to discuss plans, responsibilities, and any important updates",1,1
691,I have to take the now GMAT exam,0,2
700,"I plan to give back by volunteering at a local charity or community event, a rewarding way to spend time",2,3
115,I need to take on extra shifts or extend work hours to meet project deadlines or cover for absent colleagues,1,5
275,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
116,"I need to compile a comprehensive report on recent project developments, requiring several hours of focus",2,4
408,I have to plan a family dinner,1,3
315,I have to visit grandparents,3,2
815,"I have to urgently go shopping for electronics, it will be learn",2,3
368,I need to take on extra shifts or extend work hours to meet project deadlines or cover for absent colleagues,1,5
910,I have to important study for the code exam,2,6
524,I have to take the today art exam,0,2
392,"I need to complete necessary administrative forms, a task that takes little time but needs to be done",3,1
253,I have to now study for the english exam,0,4
853,I plan to enjoy a leisurely walk in the park to clear my mind and get some fresh air,3,1
883,"I have to urgently clean the house, it will be deliberately",1,4
34,I plan to watch a new or favorite movie to relax and unwind after a long day,3,2
845,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
343,I have to clean my room,1,1
543,"I have to by today charge my laptop, it will be learn",0,2
740,"I plan to attend a scheduled doctor's appointment for a regular health check-up, cannot be postponed",1,1
882,I need to submit a work order for necessary repairs or maintenance in the office environment,1,2
967,I need to submit a work order for necessary repairs or maintenance in the office environment,1,2
698,"I have to with haste go shopping for electronics, it will be easy",2,1
823,"I plan to attend a scheduled doctor's appointment for a regular health check-up, cannot be postponed",1,1
82,"I have to first cook for my family, it will be fast",0,2
52,I have to take the eventually MCAT exam,2,2
871,"I have to trim nails carefully to prevent overgrowth and potential health issues, can wait until the weekend",3,1
919,"I plan to hold a family meeting to discuss plans, responsibilities, and any important updates",1,1
84,"I have to trim nails carefully to prevent overgrowth and potential health issues, can wait until the weekend",3,1
36,"I plan to attend a scheduled doctor's appointment for a regular health check-up, cannot be postponed",1,1
937,I need to conduct light cleaning tasks to maintain a pleasant and productive office space,3,1
886,I plan to enjoy a leisurely walk in the park to clear my mind and get some fresh air,3,1
334,"I have to dedicate time to bond, crucial for emotional health and to strengthen our connection",2,4
253,I have to bake a cake,2,3
255,"I plan to spend time meditating to clear my mind, reduce stress, and improve my mental well-being",2,1
941,I need to sort and organize digital or physical files to keep the workspace tidy and efficient,3,2
220,"I have to soon clean my room, it will be research",1,3
310,"I need to get in touch with IT support to resolve technical issues affecting work, with a sense of urgency",1,2
128,"I plan to immerse myself in a video game, either trying a new one or replaying a classic",3,2
635,"I have to urgent vet visit for annual vaccination and check-up, must be done ASAP for pet's health",1,3
621,"I have to when i can visit my grandparents, it will be research",3,3
411,I have to take the easy english exam,2,1
429,"I have to by today charge my pad, it will be research",1,2
392,"I have to primarily find something to eat, it will be difficult",0,2
24,I have to intensive study for the communications exam,2,5
287,"I have to spend quality playtime to stimulate physically and mentally, important for well-being",2,4
458,"I have to brush fur to reduce shedding and matting, a relaxing activity for both pet and owner",3,1
529,"I plan to organize a get-together with friends to catch up, relax, and enjoy each other's company",2,3
75,"I have to trim nails carefully to prevent overgrowth and potential health issues, can wait until the weekend",3,1
521,"I have to now charge my pad, it will be deliberately",1,2
953,"I plan to organize a get-together with friends to catch up, relax, and enjoy each other's company",2,3
393,"I need to organize activities to enhance team cohesion and morale, important for maintaining a positive work environment",3,2
210,"I plan to organize a casual get-together with friends for games, conversation, and fun",2,3
725,I have to take the thorough GMAT exam,1,3
701,I have to attend yoga class,2,3
951,"I have to urgent vet visit for annual vaccination and check-up, must be done ASAP for pet's health",1,3
895,"I have to lastly go to a restaurant, it will be learn",3,2
501,I have to go grocery shopping,1,2
349,"I need to reach out to the manager for urgent discussions, approvals, or to relay important information",1,1
176,I need to take on extra shifts or extend work hours to meet project deadlines or cover for absent colleagues,1,5
382,I need to take on extra shifts or extend work hours to meet project deadlines or cover for absent colleagues,1,5
988,"I plan to spend time meditating to clear my mind, reduce stress, and improve my mental well-being",2,1
31,I have to take the important liberal arts exam,1,2
695,"I have to give a thorough bath with pet-friendly shampoo, not urgent but should be done when possible",3,1
295,"I have to dedicate time to bond, crucial for emotional health and to strengthen our connection",2,4
418,I have to write thank you notes,3,3
507,"I plan to go for a run to stay active and enjoy the outdoors, whether in the neighborhood or a local trail",3,2
66,"I have to brush fur to reduce shedding and matting, a relaxing activity for both pet and owner",3,1
235,"I have to conduct regular training to teach new tricks and reinforce good behavior, a rewarding challenge",2,4
850,"I need to compile a comprehensive report on recent project developments, requiring several hours of focus",2,4
955,I have to today study for the economics exam,0,4
136,"I need to compile a comprehensive report on recent project developments, requiring several hours of focus",2,4
74,"I plan to immerse myself in a video game, either trying a new one or replaying a classic",3,2
158,I have to take the easy LSAT exam,2,1
225,I have to prepare for the job interview,2,2
770,"I plan to dedicate time to training and improving skills in a chosen sport, aiming for personal bests",1,4
552,I plan to visit the dentist for a routine cleaning and to ensure dental health is maintained,1,1
838,"I have to by today charge my laptop, it will be time-intensive",0,2
80,"I need to get in touch with IT support to resolve technical issues affecting work, with a sense of urgency",1,2
248,I have to take the important math exam,1,3
467,I have to do the laundry,1,1
498,I have to schedule dentist appointment,1,3
343,"I have to crucial charge my pad, it will be long",1,2
800,I have to write thank you notes,1,3
540,I have to bake a cake,3,3
317,"I have to crucial clean my room, it will be short",1,1
212,"I need to ensure all project documents are up to date, reflecting the latest changes and decisions",2,3
332,"I plan to organize a get-together with friends to catch up, relax, and enjoy each other's company",2,3
487,I have to bake a cake,2,1
725,"I have to dedicate time to bond, crucial for emotional health and to strengthen our connection",2,4
575,I have to attend online course,1,2
594,I have to take the easy social studies exam,2,1
89,I need to conduct light cleaning tasks to maintain a pleasant and productive office space,3,1
925,"I plan to go for a run to stay active and enjoy the outdoors, whether in the neighborhood or a local trail",3,2
819,I have to prepare for the job interview,2,1
665,"I have to required go to a restaurant, it will be time-intensive",2,2
220,I plan to enjoy a leisurely walk in the park to clear my mind and get some fresh air,3,1
433,I have to organize the closet,1,1
906,"I plan to organize a get-together with friends to catch up, relax, and enjoy each other's company",2,3
734,I plan to enjoy a leisurely walk in the park to clear my mind and get some fresh air,3,1
355,"I plan to organize a casual get-together with friends for games, conversation, and fun",2,3
899,"I have to quickly find something to eat, it will be short",0,1
649,"I plan to play a sport for enjoyment and fitness, like volleyball, with friends or a local club",2,3
27,"I plan to organize a casual get-together with friends for games, conversation, and fun",2,3
765,"I need to complete necessary administrative forms, a task that takes little time but needs to be done",3,1
823,"I have to easy go shopping at multiple stores, it will be research",3,5
231,I have to take the soon engineering exam,1,4
162,"I need to get in touch with IT support to resolve technical issues affecting work, with a sense of urgency",1,2
509,I plan to enjoy a leisurely walk in the park to clear my mind and get some fresh air,3,1
699,I need to conduct light cleaning tasks to maintain a pleasant and productive office space,3,1
834,"I plan to go hiking to explore nature, get exercise, and enjoy some peaceful time outdoors",2,3
257,"I plan to start planning a vacation for some rest and rejuvenation, researching destinations and making bookings",2,2
4,"I plan to spend time meditating to clear my mind, reduce stress, and improve my mental well-being",2,1
971,"I need to visit the bank for work-related financial transactions, requiring careful planning and time management",1,2
881,I have to take the by tomorrow GMAT exam,0,2
54,"I plan to hold a family meeting to discuss plans, responsibilities, and any important updates",1,1
446,I plan to have a session with my counselor to talk through any challenges and for personal growth,1,1
286,I have to plan the weekend getaway,2,4
931,"I plan to have fun racing go-karts with friends, a perfect way to spend the weekend",2,3
33,I have to intensive study for the english exam,2,5
967,I have to take the eventually liberal arts exam,2,2
881,"I need to schedule and work the required part-time hours, ensuring all duties are completed within this time",2,4
141,I have to practice guitar,2,1
453,"I have to primarily clean the house, it will be thorough",1,4
92,I have to visit grandparents,1,3
991,I have to today study for the art exam,0,4
938,I have to take the eventually MCAT exam,2,2
775,I plan to binge-watch the latest season of a highly recommended series,3,2
767,I plan to binge-watch the latest season of a highly recommended series,3,2
395,"I have to by today go shopping for a fridge, it will be speed",2,2
205,"I plan to give back by volunteering at a local charity or community event, a rewarding way to spend time",2,3
942,I need to submit a work order for necessary repairs or maintenance in the office environment,1,2
981,I have to organize the closet,1,1
19,I have to by tomorrow study for the civil engineering exam,0,6
798,I have to update resume,1,1
116,"I plan to go for a run to stay active and enjoy the outdoors, whether in the neighborhood or a local trail",3,2
838,"I need to prepare and submit tax documents, a critical task with medium time commitment",1,3
732,I have to take the intensive LSAT exam,1,3
870,"I plan to organize a get-together with friends to catch up, relax, and enjoy each other's company",2,3
410,"I plan to dedicate time to training and improving skills in a chosen sport, aiming for personal bests",1,4
463,"I plan to experience the thrill of skydiving, an adventure I've always wanted to try",2,4
840,"I have to trim nails carefully to prevent overgrowth and potential health issues, can wait until the weekend",3,1
91,"I have to when i can charge my pad, it will be time-intensive",3,2
422,"I have to conduct regular training to teach new tricks and reinforce good behavior, a rewarding challenge",2,4
79,"I have to trim nails carefully to prevent overgrowth and potential health issues, can wait until the weekend",3,1
982,I have to call a friend,2,3
739,"I plan to give back by volunteering at a local charity or community event, a rewarding way to spend time",2,3
771,"I have to soon clean the house, it will be learn",1,4
566,I have to intensive study for the code exam,2,7
707,I have to write thank you notes,2,4
317,"I have to conduct regular training to teach new tricks and reinforce good behavior, a rewarding challenge",2,4
61,I have to do the laundry,1,1
739,"I need to compile a comprehensive report on recent project developments, requiring several hours of focus",2,4
795,I have to plan a family dinner,2,2
173,I plan to visit the dentist for a routine cleaning and to ensure dental health is maintained,1,1
794,"I plan to spend time meditating to clear my mind, reduce stress, and improve my mental well-being",2,1
110,I have to apply for jobs,1,1
630,"I have to finally go shopping at multiple stores, it will be deliberately",3,5
36,I have to important study for the chemistry exam,2,6
271,"I plan to spend some quiet time getting lost in a good book, either fiction or non-fiction",3,2
313,I have to take the today chemistry exam,0,4
880,"I have to when i can garden my plants, it will be deliberately",3,4
842,I have to take the easy communications exam,2,1
779,"I need to get in touch with IT support to resolve technical issues affecting work, with a sense of urgency",1,2
858,"I have to soon meal prep for my week, it will be fast",0,2
509,"I have to prepare and serve fresh meals twice a day, morning and evening, to maintain a healthy diet",1,2
180,"I need to prepare for and attend a meeting with the boss to discuss performance, goals, and feedback",1,2
819,"I have to give a thorough bath with pet-friendly shampoo, not urgent but should be done when possible",3,1
303,I have to do the laundry,1,1
207,"I need to ensure all project documents are up to date, reflecting the latest changes and decisions",2,3
245,"I plan to dedicate time to learning something new, like a language or instrument, for personal development",2,4
166,"I plan to start planning a vacation for some rest and rejuvenation, researching destinations and making bookings",2,2
184,"I plan to have fun racing go-karts with friends, a perfect way to spend the weekend",2,3
